amenities,host_response_rate,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,summary_len,houserules_len,Manhattan,Brooklyn,Queens,Others,Entire_home,Private_room,Shared_room,price
54,0.9,2,1,0,1,350,100,2,0,288,46,95,0.39,44,18,1,0,0,0,1,0,0,225
21,0.9,2,1,1,1,300,125,2,100,127,75,89,0.6,88,28,1,0,0,0,1,0,0,200
13,1,2,1,1,1,500,75,2,15,322,94,95,0.74,1,29,1,0,0,0,1,0,0,116
21,1,3,1,1,2,0,40,2,10,0,161,94,1.33,42,14,1,0,0,0,1,0,0,150
16,1,2,1,1,1,450,75,1,0,1,53,93,0.42,1,184,1,0,0,0,1,0,0,135
27,1,2,1,1,0,200,67,1,22,324,167,94,1.33,76,146,0,1,0,0,0,1,0,89
23,1,1,1,1,1,500,100,1,10,4,27,97,0.22,34,166,1,0,0,0,1,0,0,120
47,1,4,1,1,1,500,70,3,50,22,59,96,4.59,88,53,0,1,0,0,1,0,0,99
19,1,5,1,1,4,300,90,4,15,251,92,95,0.76,1,179,0,1,0,0,1,0,0,120
19,1,2,1,1,1,0,35,1,20,89,20,97,1.35,15,17,0,1,0,0,0,1,0,60
8,0.9,2,1,1,1,150,50,1,15,252,92,98,1.46,50,17,1,0,0,0,0,1,0,52
34,1,2,1,1,0,200,67,1,22,322,169,95,1.41,62,143,0,1,0,0,0,1,0,89
20,1,2,1,1,1,0,30,1,18,15,57,94,0.48,34,36,0,1,0,0,1,0,0,98
22,1,2,1,1,1,500,100,2,25,124,11,96,0.47,43,1,0,1,0,0,1,0,0,150
12,1,2,1,1,1,500,90,2,0,245,61,88,0.52,44,16,0,1,0,0,1,0,0,110
11,0.6,5,1,2,2,150,85,4,25,0,12,95,0.11,26,19,0,1,0,0,1,0,0,115
3,1,2,1,1,1,300,50,1,20,211,135,94,1.16,1,1,0,1,0,0,0,1,0,80
21,1,2,1,1,1,0,110,1,50,254,76,92,0.65,33,38,1,0,0,0,1,0,0,151
24,0.87,2,1,2,0,350,128,2,10,151,84,94,0.71,34,6,0,1,0,0,1,0,0,228
35,1,2,1,1,1,1000,150,2,60,287,19,95,0.21,53,124,1,0,0,0,1,0,0,200
18,1,2,1,1,1,500,100,2,0,215,107,97,0.91,1,169,0,1,0,0,1,0,0,150
27,0.88,3,1,1,1,200,200,1,75,244,20,83,0.83,50,19,1,0,0,0,0,1,0,85
6,1,1,1,1,1,0,0,1,20,301,19,98,0.17,37,39,1,0,0,0,0,1,0,110
27,1,2,1,1,2,250,191,2,0,180,21,92,0.29,36,73,1,0,0,0,1,0,0,180
17,1,1,1,1,1,0,100,1,0,280,43,97,0.38,45,16,0,1,0,0,0,1,0,80
38,0.8,4,2,2,2,1000,120,2,50,179,5,100,0.12,40,9,1,0,0,0,1,0,0,375
38,1,6,1,2,4,500,200,6,20,218,66,93,0.57,80,1,1,0,0,0,1,0,0,250
11,1,4,1,1,1,300,60,1,45,0,25,79,0.22,1,1,0,1,0,0,0,1,0,89
10,1,1,1,1,1,1500,0,1,0,219,192,89,1.64,42,35,1,0,0,0,0,1,0,52
26,0.94,4,1,1,3,1500,100,1,25,329,149,93,1.39,85,5,0,1,0,0,1,0,0,300
17,0.83,1,1,1,1,0,50,1,25,342,108,93,1.27,66,17,1,0,0,0,0,1,0,99
30,1,2,1,1,1,150,40,1,40,353,49,98,1.55,1,94,1,0,0,0,0,1,0,65
31,1,2,1,1,1,0,47,1,45,316,109,98,0.95,21,56,0,1,0,0,0,1,0,105
21,1,2,1,1,1,500,100,1,0,243,21,97,0.19,37,103,1,0,0,0,1,0,0,170
9,1,2,1,2,1,100,30,1,20,259,146,88,1.52,66,7,1,0,0,0,0,1,0,200
39,1,2,1.5,1,1,0,85,2,50,149,143,97,1.27,40,66,0,1,0,0,0,1,0,95
26,1,4,1,2,2,0,79,2,14,244,62,88,0.54,1,67,0,1,0,0,0,1,0,145
26,1,4,1,2,2,500,100,2,25,317,72,87,0.63,14,50,1,0,0,0,1,0,0,285
13,1,4,2,1,2,100,150,3,50,71,17,94,0.16,80,152,0,1,0,0,1,0,0,130
22,1,2,1,1,1,0,35,2,0,304,177,94,1.55,1,100,0,1,0,0,0,1,0,85
15,1,4,1,1,2,250,80,1,0,223,171,98,3.44,36,169,0,1,0,0,1,0,0,131
6,1,3,1,1,2,300,75,1,10,296,16,87,0.2,1,42,0,1,0,0,0,1,0,98
10,1,1,1,1,1,100,30,1,55,365,1,100,0.1,11,7,1,0,0,0,0,1,0,89
34,1,2,1,1,1,250,50,1,50,340,30,99,0.27,90,176,1,0,0,0,0,1,0,110
41,1,5,2,3,3,700,200,4,100,259,46,88,0.54,80,53,1,0,0,0,1,0,0,500
12,1,4,1,1,2,500,0,2,0,218,29,92,0.39,29,4,0,1,0,0,1,0,0,80
33,1,2,1,1,1,100,50,1,0,324,171,95,1.6,1,36,1,0,0,0,0,1,0,100
36,1,6,2,3,3,300,100,5,50,205,20,98,0.2,51,37,0,1,0,0,1,0,0,200
30,1,3,1,1,2,200,75,1,10,334,19,94,0.19,1,19,0,1,0,0,0,1,0,125
14,1,6,2,2,4,500,75,2,25,270,7,90,0.06,43,125,1,0,0,0,1,0,0,350
36,0.8,5,1,1,3,150,85,2,25,195,155,92,1.41,1,83,1,0,0,0,1,0,0,120
18,1,3,1,1,1,500,95,2,75,268,76,95,0.68,17,40,1,0,0,0,1,0,0,185
24,1,2,1,1,1,0,100,1,25,246,50,97,0.45,71,125,1,0,0,0,0,1,0,130
35,1,3,1.5,1,2,250,85,2,35,363,84,97,0.77,26,59,0,1,0,0,0,1,0,135
26,1,3,1.5,1,1,1000,150,2,75,304,10,100,0.1,70,73,0,1,0,0,1,0,0,199
25,0.9,6,1,1,5,400,0,2,20,197,126,92,1.72,18,1,0,1,0,0,1,0,0,115
12,1,2,1,1,1,0,50,2,25,217,11,100,0.11,37,19,0,1,0,0,1,0,0,160
